fid,lat,long,index,2016,yield Kg/Feddan,2017,yield Kg/Feddan_1,2018,yield Kg/Feddan_2,2019,yield Kg/Feddan_3,2020,yield Kg/Feddan_4,2021,yield Kg/Feddan_5,2022,yield Kg/Feddan_6
"1",30.82263079,30.76709054,"1043",wheat,"2900",,,wheat,"3100",,,,,wheat,"3000",Wheat,"3100"
"2",30.82357,30.772422,"1189",wheat,"3200",wheat-rice,3200-4300,wheat,"3300",rice,"4400",wheat,"3400",rice,"4100",wheat-corn,3100-4200
"3",30.82358267,30.77647794,"1165",wheat - rice,3000-3900,wheat,"3200",wheat - rice,3100-4200,rice,"4400",wheat - rice,3200-4300,rice,"4200",wheat - rice,3200-4100
"4",30.82668062,30.77682227,"1152",wheat - rice,3300-4100,wheat,"3300",wheat - rice,3100-4200,rice,"4400",wheat - rice,3100-4200,rice,"4100",wheat - rice,3200-4200
"5",30.82889862,30.76995112,"1164",wheat - rice,3100-3900,wheat,"3100",wheat - rice,3300-4100,rice,"4400",wheat - rice,3100-4300,rice,"4100",wheat - rice,3100-4300
"6",30.82930285,30.77730138,"1163",wheat - rice,3100-3900,wheat,"3100",wheat - rice,3200-4000,rice,"4400",wheat - rice,3200-4200,rice,"4200",wheat - rice,3200-4000
"7",30.83060128,30.77647794,"1184",,,wheat,"3100",,,wheat,"3400",,,wheat,"3000",,
"8",30.82764768,30.78080904,"1046",,,wheat,"3100",wheat,"3300",,,wheat,"2200",wheat,"3000",,
"9",30.83118867,30.77874441,"1204",wheat-rice,3000-4000,wheat,"3100",wheat-rice,3200-4100,rice,"4300",wheat-rice,3200-4200,rice,"4100",wheat-rice,3000-4000
"10",30.83114232,30.7801576,"1205",wheat-rice,3100-4100,wheat,"3200",wheat-rice,3100-4100,rice,"4300",wheat-rice,3300-4200,rice,"4200",wheat-rice,3100-4100
"11",30.83192223,30.78035172,"1209",wheat-rice,3000-4200,wheat,"3300",wheat-rice,3300-4000,rice,"4300",wheat-rice,3000-4300,rice,"4100",wheat-rice,3100-4200
"12",30.83228209,30.78094348,"1207",wheat-rice,3300-4300,wheat,"3100",wheat-rice,3100-4200,rice,"4300",wheat-rice,3300-4200,rice,"4000",wheat-rice,3200-4100
"13",30.83198729,30.78183129,"1206",wheat-rice, 3200-4200 ,wheat,"3200",wheat-rice,3100-4100,rice,"4300",wheat-rice,3100-4200,rice,"4200",wheat-rice,3100-4100
"14",30.83281411,30.78146953,"1208",wheat-rice,3100-4300,wheat,"3100",wheat-rice,3200-4200,rice,"4300",wheat-rice,3200-4100,rice,"4100",wheat-rice,3100-4100
"15",30.83333921,30.78088179,"1195",wheat,"3300",wheat-rice,3100-4100,wheat,"3200",rice,"4300",wheat,"3100",rice,"4100",wheat,"3100"
