Crop,Lat,Long,Yield Ton/ Fed.
Rice,31.011766,30.8014759,4.3
Rice,31.011737,30.8015211,3.9
Rice,31.0117834,30.8015482,4.1
Rice,31.011771,30.8015513,4.2
Rice,31.0117144,30.8015741,3.9
Rice,31.0117804,30.8016003,3.6
Rice,31.0117767,30.8016135,3.8
Rice,31.0117764,30.8016274,4.1
Rice,30.841278,31.048058,4.1
Rice,30.841825,31.051919,4
Rice,30.841665,31.053069,4.1
Rice,30.842656,31.056198,4.1
Rice,30.83985,31.053487,4.1
Rice,30.845022,31.058323,4
Rice,30.846103,31.059393,3.9
Rice,30.84113,31.060899,4.3
Rice,30.853462,31.064237,3.8
Rice,30.840475,31.045914,3.9
Rice,30.6361794,31.2653256,3.7
Rice,30.796984,31.055886,3.7
Rice,30.794984,31.05882,3.9
Rice,30.798933,31.061751,3.7
Rice,30.80034,31.064449,4
Rice,30.800272,31.065583,4.2
Rice,30.79777,31.059069,3.6
Rice,30.798796,31.061794,3.7
Rice,30.797875,31.059328,3.6
Rice,30.798776,31.061709,4.3
Rice,30.731023,31.079388,4.3
Rice,30.732906,31.080387,4.1
Rice,30.731023,31.080926,3.9
Rice,30.729095,31.080699,4.5
Rice,30.733061,31.08186,4.3
Rice,30.734456,31.082864,4.5
Rice,30.731114,31.083774,4.3
Rice,30.728346,31.084121,4.1
Rice,30.726192,31.08341,4.2
Rice,30.723912,31.080984,4
Rice,30.800409,31.035254,4.1
Rice,30.800807,31.035102,3.9
Rice,30.80044,31.035243,3.9
Rice,30.79975,31.036086,3.8
Rice,30.800595,31.035832,4.1
Rice,30.799857,31.035868,4.2
Rice,30.799916,31.035877,3.9
Rice,30.79991,31.036033,4.1
Rice,30.799985,31.036109,3.8
Rice,30.800085,31.036066,4.4
Rice,30.801343,31.03256,4.3
Rice,30.801453,31.032815,4.2
Rice,30.730594,31.04497,4.2
Rice,30.730809,31.044376,4.1
Rice,30.730918,31.044012,4.3
Rice,30.731051,31.043504,4
Rice,30.731197,31.043031,4.1
Rice,30.73107,31.042604,3.9
Rice,30.731462,31.042134,3.9
Rice,30.73142,31.04184,3.8
Rice,30.731486,31.041208,3.9
Rice,30.73166,31.0040346,4.1
Rice,30.854977,31.068841,4.2
Rice,30.856493,31.072093,4.3
Rice,30.858768,31.07358,3.6
Rice,30.861269,31.074744,3.9
Rice,30.862927,31.074247,4.2
Rice,30.864373,31.074201,3.8
Rice,30.86605,31.074,3.7
Rice,30.866698,31.072578,3.6
Rice,30.868321,31.07236,3.9
Rice,30.861825,31.071103,3.7
Rice,30.851063,30.808792,3.6
Rice,30.848297,30.811364,3.5
Rice,30.845812,30.815641,3.4
Rice,30.844028,30.818401,3.9
Rice,30.838046,30.830587,3.7
Rice,30.839343,30.820062,4.1
Rice,30.836248,30.826947,3.9
Rice,30.832332,30.82661,3.7
Rice,30.830179,30.825663,3.7
Rice,30.827013,30.826271,4.1
Rice,30.9410556,31.1486965,4
Rice,30.9411548,31.1488913,3.9
Rice,30.9409636,31.14902217,4.1
Rice,30.9410967,31.1490666,3.7
Rice,30.9403847,31.1520134,3.6
Rice,30.9406853,31.1517141,3.8
Rice,30.9402033,31.1518303,3.7
Rice,30.9399361,31.1525293,3.4
Rice,30.939514,31.1518511,3.8
Rice,30.940073,31.149879,3.7
Rice,30.78292,30.766863,3.9
Rice,30.782683,30.767266,4.1
Rice,30.782739,30.7614,4
Rice,30.782796,30.768327,4
Rice,30.782858,30.768879,4.3
Rice,30.781008,30.76824,4.2
Rice,30.782106,30.767613,3.9
Rice,30.782782,30.768546,3.7
Rice,30.782902,30.769581,4.1
Rice,30.782593,30.769568,3.9
